Near Strikes
CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob.,PutLTP
4.35,5.4,14.29,4.09,20250,0,0,94.5,458
3.5,3.8,14.91,3.26,20300,-97.09,14.52,96.1,519.95
2.85,2.6,15.53,2.62,20350,0,0,97.3,554.05
2.45,1.7,16.26,2.2,20400,0,0,98.2,608.75
2.25,1.1,17.13,1.95,20450,-91.25,25.93,98.8,686.1
2.15,0.7,18.07,1.79,20500,-98.12,18.25,99.2,719.25
1.95,0.4,18.85,1.58,20550,0,0,99.5,761
1.95,0.2,19.88,1.5,20600,0,0,99.7,805.9
1.95,0.1,20.9,1.44,20650,-87.11,39.91,99.8,913.75
1.9,0,21.83,1.35,20700,0,0,99.9,911.55
1.8,0,22.66,1.25,20750,0,0,99.9,940


All Strikes
CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob.,PutLTP
984.9,99.9,24.24,98.81,18800,-1.36,24.82,0,2.2
949.2,99.9,33.55,94.02,18850,-1.49,23.92,0,2.35
888.2,99.9,25.73,97.2,18900,-1.66,23.05,0,2.55
855.95,99.8,33.28,91.91,18950,-1.91,22.33,0.1,2.9
784.25,99.7,18.7,98.98,19000,-2.21,21.58,0.2,3.3
741.75,99.5,24.23,95.34,19050,-2.45,20.63,0.4,3.55
687,99.2,19.77,97.2,19100,-2.8,19.77,0.7,3.95
646.6,98.7,23.69,93.06,19150,-3.2,18.89,1.2,4.4
591.9,97.9,20.19,94.46,19200,-3.76,18.07,2,5.05
541.5,96.9,18.61,94.29,19250,-4.31,17.12,3,5.6
488,95.5,15.42,95.76,19300,-5.23,16.38,4.4,6.7
447.3,93.5,17.92,90.82,19350,-6.5,15.72,6.4,8.3
394,91,15.27,91.58,19400,-8.23,15.13,8.9,10.55
346.05,87.7,14.39,89.78,19450,-10.7,14.7,12.2,14.05
304,83.8,14.82,85.26,19500,-14,14.36,16.1,19.05
256.4,79.1,13.54,82.72,19550,-18.06,13.99,20.8,25.5
219.95,73.8,14.13,76.13,19600,-23.31,13.77,26.1,34.85
181.5,67.8,13.79,70.19,19650,-29.47,13.54,32.1,46.8
147.4,61.3,13.65,63.16,19700,-36.56,13.35,38.6,62.25
116.15,54.5,13.4,55.56,19750,-44.35,13.17,45.4,81.4
89.35,47.6,13.23,47.48,19800,-52.57,13.01,52.3,104.7
67,40.8,13.11,39.37,19850,-60.82,12.89,59.1,132.4
49,34.2,13.03,31.64,19900,-68.74,12.76,65.7,164.15
35.25,28.2,13.05,24.73,19950,-75.76,12.76,71.7,200.55
24.85,22.7,13.1,18.81,20000,-81.74,12.8,77.2,240.35
17.1,17.8,13.15,13.9,20050,-85.5,13.47,82.1,285.4
11.85,13.7,13.32,10.18,20100,-90.38,12.99,86.2,327.75
8.35,10.3,13.58,7.47,20150,-93.7,12.81,89.6,373.4
5.95,7.6,13.9,5.49,20200,-93.28,14.84,92.3,425
4.35,5.4,14.29,4.09,20250,0,0,94.5,458
3.5,3.8,14.91,3.26,20300,-97.09,14.52,96.1,519.95
2.85,2.6,15.53,2.62,20350,0,0,97.3,554.05
2.45,1.7,16.26,2.2,20400,0,0,98.2,608.75
2.25,1.1,17.13,1.95,20450,-91.25,25.93,98.8,686.1
2.15,0.7,18.07,1.79,20500,-98.12,18.25,99.2,719.25
1.95,0.4,18.85,1.58,20550,0,0,99.5,761
1.95,0.2,19.88,1.5,20600,0,0,99.7,805.9
1.95,0.1,20.9,1.44,20650,-87.11,39.91,99.8,913.75
1.9,0,21.83,1.35,20700,0,0,99.9,911.55
1.8,0,22.66,1.25,20750,0,0,99.9,940
